n,r,m
"(:Node:SARANA_RITUAL {aliases: [eteh-eteh sawa], BERUPA: [bunga, kain kuning untuk saput atau selendang, kain putih untuk bantal berisi pis bolong 11 kepeng, kamben, pangulungan, rantasan kain putih kuning dan kain anyar, sabuk, tapih, tatindih], name: eteh-eteh, id: eteh_eteh})","[:BERUPA {raw_relation: BERUPA, sentence_id: 344, confidence: MED}]","(:Node:SARANA_RITUAL {name: angkeb rai, id: angkeb_rai})"
"(:Node:SARANA_RITUAL {aliases: [eteh-eteh sawa], BERUPA: [bunga, kain kuning untuk saput atau selendang, kain putih untuk bantal berisi pis bolong 11 kepeng, kamben, pangulungan, rantasan kain putih kuning dan kain anyar, sabuk, tapih, tatindih], name: eteh-eteh, id: eteh_eteh})","[:DIMOHONKAN_DARI {raw_relation: DIMOHONKAN_DARI, sentence_id: 344, confidence: MED}]","(:Node:ENTITAS_KEAGAMAAN {name: sulinggih/griya, id: sulinggih_griya})"
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {name: formalin, id: formalin, DIPAKAI_UNTUK: [memperlambat pembusukan selama masa persiapan]})",null,null
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {name: gadarba, id: gadarba})",null,null
"(:Node:SARANA_RITUAL {name: galar dengan ketekan guling, DIGUNAKAN_DENGAN_HARAPAN: [membuat ngantuk dan tidur nyenyak], id: galar_dengan_ketekan_guling})",[:TERMASUK_JENIS],"(:Node:SARANA_RITUAL {aliases: [atas galar], TERDIRI_DARI: [bilah-bilah bambu sebanyak 9 buah], name: galar, id: galar})"
"(:Node:KONSEP_FILOSOFIS {name: ganda, id: ganda})","[:BERASAL_DARI {raw_relation: BERASAL_DARI, sentence_id: 4300, confidence: MED}]","(:Node:KONSEP_FILOSOFIS {name: pretiwi, id: pretiwi})"
"(:Node:KONSEP_FILOSOFIS {name: ganda, id: ganda})","[:KEMBALI_KE {raw_relation: KEMBALI_KE, sentence_id: 4300, confidence: MED}]","(:Node:KONSEP_FILOSOFIS {name: pretiwi, id: pretiwi})"
"(:Node:SARANA_RITUAL:Isolated {name: gedarba, id: gedarba, BERBENTUK: [beruang berwarna hitam]})",null,null
"(:Node:SARANA_RITUAL {name: gegaleng kepala, definition: bantal untuk tidur, id: gegaleng_kepala})",[:TERMASUK_JENIS],"(:Node:SARANA_RITUAL {name: gegaleng, definition: pengganti bantal kapuk yang telah dipakai pada waktu pabersihan hidup, id: gegaleng, DIKENAL_SEBAGAI: [galeng pengerekan], TERBUAT_DARI: [potongan-potongan dahan kayu dapdap yang dibungkus dengan kain putih, uang kepeng (pipis bolong) sebanyak 250 biji]})"
"(:Node:STRUKTUR_SOSIAL_ADAT:Isolated {aliases: [patus], name: gotong royong, id: gotong_royong, BERPERAN_SEBAGAI: [perwujudan rasa kebersamaan yang ada di dada krama]})",null,null
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {DIIKAT_DENGAN: [benang putih], name: gulungan daun sirih, id: gulungan_daun_sirih})",null,null
"(:Node:ISTILAH_UMUM_RITUAL {name: gulungan sirih, id: gulungan_sirih})","[:DIMASUKKAN_KE_DALAM {raw_relation: DIMASUKKAN_KE, sentence_id: 3734, confidence: LOW}]","(:Node:SARANA_RITUAL {name: lubang uang kepeng, id: lubang_uang_kepeng})"
"(:Node:ISTILAH_UMUM_RITUAL {name: hiasan, id: hiasan, TERBUAT_DARI: [daun kelapa muda busung]})","[:TERBUAT_DARI {raw_relation: TERBUAT_DARI, sentence_id: 3800, confidence: MED}]","(:Node:SARANA_RITUAL {name: blangsah, definition: bunga pinang yang belum mekar, id: blangsah})"
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {name: hyang agni, id: hyang_agni})",null,null
"(:Node:ISTILAH_UMUM_RITUAL {name: jarum jaum, id: jarum_jaum})","[:DILETAKKAN_DI {raw_relation: DITARUH_DI, sentence_id: 3760, confidence: LOW}]","(:Node:ISTILAH_UMUM_RITUAL {name: lengan jenazah, id: lengan_jenazah})"
"(:Node:ISTILAH_UMUM_RITUAL {name: jempol jari kaki, id: jempol_jari_kaki})","[:DIIKAT_DENGAN {raw_relation: DIIKAT_DENGAN, sentence_id: 3604, confidence: LOW}]","(:Node:SARANA_RITUAL {name: tali benang tukelan, id: tali_benang_tukelan})"
"(:Node:ISTILAH_UMUM_RITUAL {DILETAKKAN_DI: [balai, balai-balai rumah adat], DIALASI_DENGAN: [daun pisang saba], aliases: [jenazah /pengawak, jenazah atau simbolik, jenazah mendiang, jenazah seseorang, samping jenazah], DIMASUKKAN_KE_DALAM: [kepala terlebih dahulu], DITELENTANGKAN_DI: [pembungkus], DISERTAI: [kekidungan, peti di sampingnya], DIMANDIKAN_DI_ATAS: [balai-balai rumah adat], DIBUNGKUS: [tiga lapis], DIPAKAIKAN: [pakaian putih-putih], DIBERI: [sesisir pisang, pakaian seperti layaknya orang masih hidup], DIKUBUR: [segera], DIPINDAHKAN_DARI: [rumah adat], HARUS_DIBIARKAN: [sebentar sebelum dibuka pakaiannya], MENJADI: [sasaran segala kegiatan], id: jenazah, DIHIAS_SEOLAH_OLAH: [pergi menghadiri undangan atau ke pura], MEMAKAI: [cincin, gelang, kalung], DITUTUP_DENGAN: [kain putih dari ujung kepala hingga ujung kaki], DIGULUNG_DENGAN: [kain yang telah dirajah, tikar], DIUSUNG_KE: [tempat penusangan], DIBERSIHKAN_DARI: [hal-hal yang lain, kotoran-kotoran yang telah lama berada pada badan orang yang meninggal], HARUS_MELALUI: [ujung pepaga/asagan yang di teben barat], DIIKAT_DENGAN: [tali ktekung], DIKERINGKAN_DENGAN: [kain kering], DITUTUPI_DENGAN: [kain putih panjang kira-kira 2 sampai 2,5 meter], MENJALANI: [rangkaian upacara lain sebelum dibawa ke setra jika diaben], name: jenazah, DIBAWA_KE: [tempat pemandian, balai-balai, setra untuk segera dikuburkan bukan diaben], DIANGGAP_SEBAGAI: [orang yang masih hidup], DIBARINGKAN: [balai-balai], MENUJU: [bale dari arah teben menuju luanan/hulu], MEMBUJUR_KE: [kepala di utara atau timur]})","[:BERADA_DI {raw_relation: BERADA_DI, sentence_id: 3904, confidence: HIGH}]","(:Node:SARANA_RITUAL {DILETAKKAN_DI: [halaman rumah], BERFUNGSI_SEBAGAI: [balai-balai alas ngringkes], aliases: [asagan, atas pepaga/asagan, dusa, pepaga atau asagan, pepaga/asagan], name: pepaga, id: pepaga, TERBUAT_DARI: [bambu, hitungan galir, hitungan galur, hitungan likah, hitungan wangke, hitungan wangkong]})"
"(:Node:ISTILAH_UMUM_RITUAL {DILETAKKAN_DI: [balai, balai-balai rumah adat], DIALASI_DENGAN: [daun pisang saba], aliases: [jenazah /pengawak, jenazah atau simbolik, jenazah mendiang, jenazah seseorang, samping jenazah], DIMASUKKAN_KE_DALAM: [kepala terlebih dahulu], DITELENTANGKAN_DI: [pembungkus], DISERTAI: [kekidungan, peti di sampingnya], DIMANDIKAN_DI_ATAS: [balai-balai rumah adat], DIBUNGKUS: [tiga lapis], DIPAKAIKAN: [pakaian putih-putih], DIBERI: [sesisir pisang, pakaian seperti layaknya orang masih hidup], DIKUBUR: [segera], DIPINDAHKAN_DARI: [rumah adat], HARUS_DIBIARKAN: [sebentar sebelum dibuka pakaiannya], MENJADI: [sasaran segala kegiatan], id: jenazah, DIHIAS_SEOLAH_OLAH: [pergi menghadiri undangan atau ke pura], MEMAKAI: [cincin, gelang, kalung], DITUTUP_DENGAN: [kain putih dari ujung kepala hingga ujung kaki], DIGULUNG_DENGAN: [kain yang telah dirajah, tikar], DIUSUNG_KE: [tempat penusangan], DIBERSIHKAN_DARI: [hal-hal yang lain, kotoran-kotoran yang telah lama berada pada badan orang yang meninggal], HARUS_MELALUI: [ujung pepaga/asagan yang di teben barat], DIIKAT_DENGAN: [tali ktekung], DIKERINGKAN_DENGAN: [kain kering], DITUTUPI_DENGAN: [kain putih panjang kira-kira 2 sampai 2,5 meter], MENJALANI: [rangkaian upacara lain sebelum dibawa ke setra jika diaben], name: jenazah, DIBAWA_KE: [tempat pemandian, balai-balai, setra untuk segera dikuburkan bukan diaben], DIANGGAP_SEBAGAI: [orang yang masih hidup], DIBARINGKAN: [balai-balai], MENUJU: [bale dari arah teben menuju luanan/hulu], MEMBUJUR_KE: [kepala di utara atau timur]})","[:BERADA_DI {raw_relation: DIBAWA_KE, sentence_id: 376, confidence: HIGH}]","(:Node:BANGUNAN_RITUAL {aliases: [sebuah setra], name: setra, id: setra})"
"(:Node:ISTILAH_UMUM_RITUAL {DILETAKKAN_DI: [balai, balai-balai rumah adat], DIALASI_DENGAN: [daun pisang saba], aliases: [jenazah /pengawak, jenazah atau simbolik, jenazah mendiang, jenazah seseorang, samping jenazah], DIMASUKKAN_KE_DALAM: [kepala terlebih dahulu], DITELENTANGKAN_DI: [pembungkus], DISERTAI: [kekidungan, peti di sampingnya], DIMANDIKAN_DI_ATAS: [balai-balai rumah adat], DIBUNGKUS: [tiga lapis], DIPAKAIKAN: [pakaian putih-putih], DIBERI: [sesisir pisang, pakaian seperti layaknya orang masih hidup], DIKUBUR: [segera], DIPINDAHKAN_DARI: [rumah adat], HARUS_DIBIARKAN: [sebentar sebelum dibuka pakaiannya], MENJADI: [sasaran segala kegiatan], id: jenazah, DIHIAS_SEOLAH_OLAH: [pergi menghadiri undangan atau ke pura], MEMAKAI: [cincin, gelang, kalung], DITUTUP_DENGAN: [kain putih dari ujung kepala hingga ujung kaki], DIGULUNG_DENGAN: [kain yang telah dirajah, tikar], DIUSUNG_KE: [tempat penusangan], DIBERSIHKAN_DARI: [hal-hal yang lain, kotoran-kotoran yang telah lama berada pada badan orang yang meninggal], HARUS_MELALUI: [ujung pepaga/asagan yang di teben barat], DIIKAT_DENGAN: [tali ktekung], DIKERINGKAN_DENGAN: [kain kering], DITUTUPI_DENGAN: [kain putih panjang kira-kira 2 sampai 2,5 meter], MENJALANI: [rangkaian upacara lain sebelum dibawa ke setra jika diaben], name: jenazah, DIBAWA_KE: [tempat pemandian, balai-balai, setra untuk segera dikuburkan bukan diaben], DIANGGAP_SEBAGAI: [orang yang masih hidup], DIBARINGKAN: [balai-balai], MENUJU: [bale dari arah teben menuju luanan/hulu], MEMBUJUR_KE: [kepala di utara atau timur]})","[:BERADA_DI {raw_relation: DIBAWA_KE, sentence_id: 3868, confidence: MED}]","(:Node:ISTILAH_UMUM_RITUAL {name: bale tempat jenazah, id: bale_tempat_jenazah})"
"(:Node:ISTILAH_UMUM_RITUAL {DILETAKKAN_DI: [balai, balai-balai rumah adat], DIALASI_DENGAN: [daun pisang saba], aliases: [jenazah /pengawak, jenazah atau simbolik, jenazah mendiang, jenazah seseorang, samping jenazah], DIMASUKKAN_KE_DALAM: [kepala terlebih dahulu], DITELENTANGKAN_DI: [pembungkus], DISERTAI: [kekidungan, peti di sampingnya], DIMANDIKAN_DI_ATAS: [balai-balai rumah adat], DIBUNGKUS: [tiga lapis], DIPAKAIKAN: [pakaian putih-putih], DIBERI: [sesisir pisang, pakaian seperti layaknya orang masih hidup], DIKUBUR: [segera], DIPINDAHKAN_DARI: [rumah adat], HARUS_DIBIARKAN: [sebentar sebelum dibuka pakaiannya], MENJADI: [sasaran segala kegiatan], id: jenazah, DIHIAS_SEOLAH_OLAH: [pergi menghadiri undangan atau ke pura], MEMAKAI: [cincin, gelang, kalung], DITUTUP_DENGAN: [kain putih dari ujung kepala hingga ujung kaki], DIGULUNG_DENGAN: [kain yang telah dirajah, tikar], DIUSUNG_KE: [tempat penusangan], DIBERSIHKAN_DARI: [hal-hal yang lain, kotoran-kotoran yang telah lama berada pada badan orang yang meninggal], HARUS_MELALUI: [ujung pepaga/asagan yang di teben barat], DIIKAT_DENGAN: [tali ktekung], DIKERINGKAN_DENGAN: [kain kering], DITUTUPI_DENGAN: [kain putih panjang kira-kira 2 sampai 2,5 meter], MENJALANI: [rangkaian upacara lain sebelum dibawa ke setra jika diaben], name: jenazah, DIBAWA_KE: [tempat pemandian, balai-balai, setra untuk segera dikuburkan bukan diaben], DIANGGAP_SEBAGAI: [orang yang masih hidup], DIBARINGKAN: [balai-balai], MENUJU: [bale dari arah teben menuju luanan/hulu], MEMBUJUR_KE: [kepala di utara atau timur]})","[:DIAKHIRI_DENGAN {raw_relation: DIAKHIRI_DENGAN, sentence_id: 370, confidence: MED}]","(:Node:SARANA_RITUAL {name: lante bambu, id: lante_bambu})"
"(:Node:ISTILAH_UMUM_RITUAL {DILETAKKAN_DI: [balai, balai-balai rumah adat], DIALASI_DENGAN: [daun pisang saba], aliases: [jenazah /pengawak, jenazah atau simbolik, jenazah mendiang, jenazah seseorang, samping jenazah], DIMASUKKAN_KE_DALAM: [kepala terlebih dahulu], DITELENTANGKAN_DI: [pembungkus], DISERTAI: [kekidungan, peti di sampingnya], DIMANDIKAN_DI_ATAS: [balai-balai rumah adat], DIBUNGKUS: [tiga lapis], DIPAKAIKAN: [pakaian putih-putih], DIBERI: [sesisir pisang, pakaian seperti layaknya orang masih hidup], DIKUBUR: [segera], DIPINDAHKAN_DARI: [rumah adat], HARUS_DIBIARKAN: [sebentar sebelum dibuka pakaiannya], MENJADI: [sasaran segala kegiatan], id: jenazah, DIHIAS_SEOLAH_OLAH: [pergi menghadiri undangan atau ke pura], MEMAKAI: [cincin, gelang, kalung], DITUTUP_DENGAN: [kain putih dari ujung kepala hingga ujung kaki], DIGULUNG_DENGAN: [kain yang telah dirajah, tikar], DIUSUNG_KE: [tempat penusangan], DIBERSIHKAN_DARI: [hal-hal yang lain, kotoran-kotoran yang telah lama berada pada badan orang yang meninggal], HARUS_MELALUI: [ujung pepaga/asagan yang di teben barat], DIIKAT_DENGAN: [tali ktekung], DIKERINGKAN_DENGAN: [kain kering], DITUTUPI_DENGAN: [kain putih panjang kira-kira 2 sampai 2,5 meter], MENJALANI: [rangkaian upacara lain sebelum dibawa ke setra jika diaben], name: jenazah, DIBAWA_KE: [tempat pemandian, balai-balai, setra untuk segera dikuburkan bukan diaben], DIANGGAP_SEBAGAI: [orang yang masih hidup], DIBARINGKAN: [balai-balai], MENUJU: [bale dari arah teben menuju luanan/hulu], MEMBUJUR_KE: [kepala di utara atau timur]})","[:DIKENAL_SEBAGAI {raw_relation: DIKENAL_SEBAGAI, sentence_id: 1123, confidence: HIGH}]","(:Node:RITUAL_KEMATIAN {name: masekeh, id: masekeh})"
"(:Node:ISTILAH_UMUM_RITUAL {DILETAKKAN_DI: [balai, balai-balai rumah adat], DIALASI_DENGAN: [daun pisang saba], aliases: [jenazah /pengawak, jenazah atau simbolik, jenazah mendiang, jenazah seseorang, samping jenazah], DIMASUKKAN_KE_DALAM: [kepala terlebih dahulu], DITELENTANGKAN_DI: [pembungkus], DISERTAI: [kekidungan, peti di sampingnya], DIMANDIKAN_DI_ATAS: [balai-balai rumah adat], DIBUNGKUS: [tiga lapis], DIPAKAIKAN: [pakaian putih-putih], DIBERI: [sesisir pisang, pakaian seperti layaknya orang masih hidup], DIKUBUR: [segera], DIPINDAHKAN_DARI: [rumah adat], HARUS_DIBIARKAN: [sebentar sebelum dibuka pakaiannya], MENJADI: [sasaran segala kegiatan], id: jenazah, DIHIAS_SEOLAH_OLAH: [pergi menghadiri undangan atau ke pura], MEMAKAI: [cincin, gelang, kalung], DITUTUP_DENGAN: [kain putih dari ujung kepala hingga ujung kaki], DIGULUNG_DENGAN: [kain yang telah dirajah, tikar], DIUSUNG_KE: [tempat penusangan], DIBERSIHKAN_DARI: [hal-hal yang lain, kotoran-kotoran yang telah lama berada pada badan orang yang meninggal], HARUS_MELALUI: [ujung pepaga/asagan yang di teben barat], DIIKAT_DENGAN: [tali ktekung], DIKERINGKAN_DENGAN: [kain kering], DITUTUPI_DENGAN: [kain putih panjang kira-kira 2 sampai 2,5 meter], MENJALANI: [rangkaian upacara lain sebelum dibawa ke setra jika diaben], name: jenazah, DIBAWA_KE: [tempat pemandian, balai-balai, setra untuk segera dikuburkan bukan diaben], DIANGGAP_SEBAGAI: [orang yang masih hidup], DIBARINGKAN: [balai-balai], MENUJU: [bale dari arah teben menuju luanan/hulu], MEMBUJUR_KE: [kepala di utara atau timur]})","[:DILETAKKAN_DI {raw_relation: DITARUH, sentence_id: 3363, confidence: HIGH}]","(:Node:SARANA_RITUAL {DILETAKKAN_DI: [halaman rumah], BERFUNGSI_SEBAGAI: [balai-balai alas ngringkes], aliases: [asagan, atas pepaga/asagan, dusa, pepaga atau asagan, pepaga/asagan], name: pepaga, id: pepaga, TERBUAT_DARI: [bambu, hitungan galir, hitungan galur, hitungan likah, hitungan wangke, hitungan wangkong]})"
"(:Node:ISTILAH_UMUM_RITUAL {DILETAKKAN_DI: [balai, balai-balai rumah adat], DIALASI_DENGAN: [daun pisang saba], aliases: [jenazah /pengawak, jenazah atau simbolik, jenazah mendiang, jenazah seseorang, samping jenazah], DIMASUKKAN_KE_DALAM: [kepala terlebih dahulu], DITELENTANGKAN_DI: [pembungkus], DISERTAI: [kekidungan, peti di sampingnya], DIMANDIKAN_DI_ATAS: [balai-balai rumah adat], DIBUNGKUS: [tiga lapis], DIPAKAIKAN: [pakaian putih-putih], DIBERI: [sesisir pisang, pakaian seperti layaknya orang masih hidup], DIKUBUR: [segera], DIPINDAHKAN_DARI: [rumah adat], HARUS_DIBIARKAN: [sebentar sebelum dibuka pakaiannya], MENJADI: [sasaran segala kegiatan], id: jenazah, DIHIAS_SEOLAH_OLAH: [pergi menghadiri undangan atau ke pura], MEMAKAI: [cincin, gelang, kalung], DITUTUP_DENGAN: [kain putih dari ujung kepala hingga ujung kaki], DIGULUNG_DENGAN: [kain yang telah dirajah, tikar], DIUSUNG_KE: [tempat penusangan], DIBERSIHKAN_DARI: [hal-hal yang lain, kotoran-kotoran yang telah lama berada pada badan orang yang meninggal], HARUS_MELALUI: [ujung pepaga/asagan yang di teben barat], DIIKAT_DENGAN: [tali ktekung], DIKERINGKAN_DENGAN: [kain kering], DITUTUPI_DENGAN: [kain putih panjang kira-kira 2 sampai 2,5 meter], MENJALANI: [rangkaian upacara lain sebelum dibawa ke setra jika diaben], name: jenazah, DIBAWA_KE: [tempat pemandian, balai-balai, setra untuk segera dikuburkan bukan diaben], DIANGGAP_SEBAGAI: [orang yang masih hidup], DIBARINGKAN: [balai-balai], MENUJU: [bale dari arah teben menuju luanan/hulu], MEMBUJUR_KE: [kepala di utara atau timur]})","[:DILETAKKAN_DI {raw_relation: DILETAKKAN_DI, sentence_id: 2337, confidence: MED}]","(:Node:SARANA_RITUAL {name: balai-balai bade, id: balai_balai_bade})"
"(:Node:ISTILAH_UMUM_RITUAL {DILETAKKAN_DI: [balai, balai-balai rumah adat], DIALASI_DENGAN: [daun pisang saba], aliases: [jenazah /pengawak, jenazah atau simbolik, jenazah mendiang, jenazah seseorang, samping jenazah], DIMASUKKAN_KE_DALAM: [kepala terlebih dahulu], DITELENTANGKAN_DI: [pembungkus], DISERTAI: [kekidungan, peti di sampingnya], DIMANDIKAN_DI_ATAS: [balai-balai rumah adat], DIBUNGKUS: [tiga lapis], DIPAKAIKAN: [pakaian putih-putih], DIBERI: [sesisir pisang, pakaian seperti layaknya orang masih hidup], DIKUBUR: [segera], DIPINDAHKAN_DARI: [rumah adat], HARUS_DIBIARKAN: [sebentar sebelum dibuka pakaiannya], MENJADI: [sasaran segala kegiatan], id: jenazah, DIHIAS_SEOLAH_OLAH: [pergi menghadiri undangan atau ke pura], MEMAKAI: [cincin, gelang, kalung], DITUTUP_DENGAN: [kain putih dari ujung kepala hingga ujung kaki], DIGULUNG_DENGAN: [kain yang telah dirajah, tikar], DIUSUNG_KE: [tempat penusangan], DIBERSIHKAN_DARI: [hal-hal yang lain, kotoran-kotoran yang telah lama berada pada badan orang yang meninggal], HARUS_MELALUI: [ujung pepaga/asagan yang di teben barat], DIIKAT_DENGAN: [tali ktekung], DIKERINGKAN_DENGAN: [kain kering], DITUTUPI_DENGAN: [kain putih panjang kira-kira 2 sampai 2,5 meter], MENJALANI: [rangkaian upacara lain sebelum dibawa ke setra jika diaben], name: jenazah, DIBAWA_KE: [tempat pemandian, balai-balai, setra untuk segera dikuburkan bukan diaben], DIANGGAP_SEBAGAI: [orang yang masih hidup], DIBARINGKAN: [balai-balai], MENUJU: [bale dari arah teben menuju luanan/hulu], MEMBUJUR_KE: [kepala di utara atau timur]})","[:DILETAKKAN_DI {raw_relation: DILETAKKAN_DI, sentence_id: 1034, confidence: HIGH}]","(:Node:BANGUNAN_RITUAL {name: bale adat, id: bale_adat})"
"(:Node:ISTILAH_UMUM_RITUAL {DILETAKKAN_DI: [balai, balai-balai rumah adat], DIALASI_DENGAN: [daun pisang saba], aliases: [jenazah /pengawak, jenazah atau simbolik, jenazah mendiang, jenazah seseorang, samping jenazah], DIMASUKKAN_KE_DALAM: [kepala terlebih dahulu], DITELENTANGKAN_DI: [pembungkus], DISERTAI: [kekidungan, peti di sampingnya], DIMANDIKAN_DI_ATAS: [balai-balai rumah adat], DIBUNGKUS: [tiga lapis], DIPAKAIKAN: [pakaian putih-putih], DIBERI: [sesisir pisang, pakaian seperti layaknya orang masih hidup], DIKUBUR: [segera], DIPINDAHKAN_DARI: [rumah adat], HARUS_DIBIARKAN: [sebentar sebelum dibuka pakaiannya], MENJADI: [sasaran segala kegiatan], id: jenazah, DIHIAS_SEOLAH_OLAH: [pergi menghadiri undangan atau ke pura], MEMAKAI: [cincin, gelang, kalung], DITUTUP_DENGAN: [kain putih dari ujung kepala hingga ujung kaki], DIGULUNG_DENGAN: [kain yang telah dirajah, tikar], DIUSUNG_KE: [tempat penusangan], DIBERSIHKAN_DARI: [hal-hal yang lain, kotoran-kotoran yang telah lama berada pada badan orang yang meninggal], HARUS_MELALUI: [ujung pepaga/asagan yang di teben barat], DIIKAT_DENGAN: [tali ktekung], DIKERINGKAN_DENGAN: [kain kering], DITUTUPI_DENGAN: [kain putih panjang kira-kira 2 sampai 2,5 meter], MENJALANI: [rangkaian upacara lain sebelum dibawa ke setra jika diaben], name: jenazah, DIBAWA_KE: [tempat pemandian, balai-balai, setra untuk segera dikuburkan bukan diaben], DIANGGAP_SEBAGAI: [orang yang masih hidup], DIBARINGKAN: [balai-balai], MENUJU: [bale dari arah teben menuju luanan/hulu], MEMBUJUR_KE: [kepala di utara atau timur]})","[:DINAIKKAN_KE {raw_relation: DINAIKKAN_KE, sentence_id: 217, confidence: MED}]","(:Node:SARANA_RITUAL {name: usungan, id: usungan})"
